"Date","Ticker","Close","High","Low","Open","Volume","Article_Count","Avg_Sentiment_Score","Dominant_Sentiment","Daily_Return"
"2018-01-02 00:00:00.000000",AAPL,40.30416488647461,40.31352580045824,39.6022462836929,39.81282400661299,102223600,0.0,0.0,No News,0.0
"2018-01-03 00:00:00.000000",AAPL,40.297149658203125,40.839968474154716,40.23397954869898,40.36734223890624,118071600,0.0,0.0,No News,-0.0001740571549179
"2018-01-04 00:00:00.000000",AAPL,40.48432922363281,40.587277867352185,40.262055690225814,40.36968122128297,89738400,0.0,0.0,No News,0.004644982759756555
"2018-01-05 00:00:00.000000",AAPL,40.945255279541016,41.03182410540059,40.48900886331186,40.58025814655769,94640000,0.0,0.0,No News,0.011385295613077329
"2018-01-08 00:00:00.000000",AAPL,40.79317855834961,41.08798314166222,40.694906793768766,40.79317855834961,82271200,0.0,0.0,No News,-0.0037141475893397446
"2018-01-09 00:00:00.000000",AAPL,40.788509368896484,40.95930864188013,40.57325465921227,40.83998370927144,86336000,0.0,0.0,No News,-0.0001144600547968
"2018-01-10 00:00:00.000000",AAPL,40.77914047241211,40.78148248660823,40.477316963030724,40.51475348873273,95839600,0.0,0.0,No News,-0.0002296945053726
"2018-01-11 00:00:00.000000",AAPL,41.01078796386719,41.05992386570069,40.82595086108248,40.84934601945747,74670800,0.0,0.0,No News,0.0056805388434264525
"2018-01-12 00:00:00.000000",AAPL,41.43425750732422,41.49743118615743,41.09733598040432,41.221341324320264,101672400,0.0,0.0,No News,0.010325808512387846
"2018-01-16 00:00:00.000000",AAPL,41.22368621826172,41.97239879142603,41.2119868591207,41.623777881825276,118263600,0.0,0.0,No News,-0.00508205773990944
"2018-01-17 00:00:00.000000",AAPL,41.90455627441406,41.9396507884389,40.961645582745746,41.214333224012265,137547200,0.0,0.0,No News,0.01651647677860324
"2018-01-18 00:00:00.000000",AAPL,41.94198989868164,42.13852989077325,41.7056785034929,41.967727066089836,124773600,0.0,0.0,No News,0.0008933067808292
"2018-01-19 00:00:00.000000",AAPL,41.75481414794922,42.01686270900164,41.50914183689063,41.78990866232449,129700400,0.0,0.0,No News,-0.004462729383717279
"2018-01-22 00:00:00.000000",AAPL,41.4132080078125,41.59570660494731,41.31962026523079,41.48340059982055,108434400,0.0,0.0,No News,-0.00818123962727535
"2018-01-23 00:00:00.000000",AAPL,41.42256164550781,41.98409876115503,41.37109089079645,41.48339688586861,130756400,0.0,0.0,No News,0.0002258612202548
